demand_electricity,electricity_balance,pv,soc,delta_battery,supply_grid_power,heat_pump
-0.0,-1.7765999999992346,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.1335999999992055,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.9412000000011177,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.9330000000027212,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.9697999999953026,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.2026000000023487,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.1490500662531402,0.0,0.2,0.0,0.0,-0.0
-0.0,0.0,0.0,0.21012209930013812,-0.16870165500230203,0.0,-0.0
-0.0,0.0,0.0,0.20816746883736378,0.026387511247453376,0.0,-0.0
-0.0,0.0,0.0,0.25974888076233005,-0.8596901987494378,0.0,-0.0
-0.0,-0.009717384710744171,0.0,0.2,0.8066098902914559,0.0,-0.0
-0.0,-4.015779822497143,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.981981728751703,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.5545297774997437,0.0,0.2,0.0,0.0,-0.0
-0.0,-4.031799999998839,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.6297999999987947,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.5163999999986117,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.807000000004336,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.8441999999959076,0.0,0.2,0.0,0.0,-0.0
-0.0,-4.03240000000369,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.791599999996833,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.431400000001304,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.499600000002829,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.048399999997855,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.4992000000038388,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.8854000000010275,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.7439999999969589,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.8675999999995839,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.1512000000002445,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.9374000000007072,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.713349315001845,0.0,0.2,0.0,0.0,-0.0
-0.0,0.0,0.0,0.20509277322511946,-0.08487955375199085,0.0,-0.0
-0.0,-0.7847410727084224,0.0,0.2,0.0687524385391126,0.0,-0.0
-0.0,-2.8084614800007452,0.0,0.2,0.0,0.0,-0.0
-0.0,0.0,0.0,0.3116175506749228,-1.8602925112487136,0.0,-0.0
-0.0,0.0,0.0,0.3234795484248376,-0.19769996249857966,0.0,-0.0
-0.0,-0.391271341259771,0.0,0.2,1.6669739037353077,0.0,-0.0
-0.0,-5.106110036253623,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.263999999999214,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.9682000000011612,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.8804000000000087,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.767399999993358,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.2440000000078726,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.1303999999945518,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.2070000000021537,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.212600000000748,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.9093999999986409,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.3956000000016502,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.1855999999970663,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.0648000000055617,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.039599999998245,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.0243999999966036,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.9845999999997731,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.2204000000056112,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.4186886387477067,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.3332397762488826,0.0,0.2,0.0,0.0,-0.0
-0.0,0.0,0.0,0.27765280392494546,-1.2942133987490914,0.0,-0.0
-0.0,-0.24621620701126884,0.0,0.2,1.048312852986764,0.0,-0.0
-0.0,0.0,0.0,0.4690328233247901,-4.483880388746502,0.0,-0.0
-0.0,0.0,0.0,0.6624881993749077,-3.224256267501959,0.0,-0.0
-0.0,0.0,0.0,0.4339182778935899,3.0856939399977903,0.0,-0.0
-0.0,-1.7829068971930038,0.0,0.2,3.1578967515634635,0.0,-0.0
-0.0,-2.3417999999946915,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.397400000005291,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.8394000000007509,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.4536000000025524,0.0,0.2,0.0,0.0,-0.0
-0.0,-4.255599999991318,0.0,0.2,0.0,0.0,-0.0
-0.0,-4.231000000001586,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.932400000001508,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.140799999999217,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.698999999998705,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.7998000000025058,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.8898000000026516,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.1771999999946274,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.8798000000006143,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.9233999999978549,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.4169999999994616,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.5978000000031898,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.46463987250046546,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.6823914537483294,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.5325670474990685,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.361213031249805,0.0,0.2,0.0,0.0,-0.0
-0.0,0.0,0.0,0.5039788729248333,-5.066314548747223,0.0,-0.0
-0.0,0.0,0.0,0.6816643582249596,-2.9614247550021036,0.0,-0.0
-0.0,0.0,0.0,0.59701434489153,1.1427751800012989,0.0,-0.0
-0.0,0.0,0.0,0.38436046535495133,2.8708273737438126,0.0,-0.0
-0.0,-0.6459337177134273,0.0,0.2,2.4888662822918435,0.0,-0.0
-0.0,-2.7418000000016036,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.5178000000014435,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.486799999998766,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.599000000001979,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.5701999999982945,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.1886000000013155,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.5485999999982596,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.5957999999991443,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.9617999999973106,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.5320000000028813,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.254800000000614,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.021599999998216,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.2018000000007305,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.219200000001365,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.3436000000001513,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.343665599994566,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.8018653699986,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.9023952337551862,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.5455708837493598,0.0,0.2,0.0,0.0,-0.0
-0.0,0.0,0.0,0.456068968099584,-4.267816134993067,0.0,-0.0
-0.0,0.0,0.0,0.5210325362749937,-1.082726136256828,0.0,-0.0
-0.0,-0.4166780740384617,0.0,0.2,4.333939239712414,0.0,-0.0
-0.0,-7.479576600001472,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.932199999997465,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.2981999999992695,0.0,0.2,0.0,0.0,-0.0
-0.0,-4.592599999998129,0.0,0.2,0.0,0.0,-0.0
-0.0,-5.885600000001432,0.0,0.2,0.0,0.0,-0.0
-0.0,-6.806400000006761,0.0,0.2,0.0,0.0,-0.0
-0.0,-4.88999999999578,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.1080000000001746,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.3087999999970634,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.5922000000027765,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.3343999999960943,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.0852000000068074,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.9177999999974418,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.8512000000009721,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.8713999999999941,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.0972000000001572,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.785599999999249,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.8298884449965773,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.42367858250025586,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.9978532524973835,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.7615927350078463,0.0,0.2,0.0,0.0,-0.0
-0.0,0.0,0.0,0.31552985930017335,-1.9254976550028897,0.0,-0.0
-0.0,0.0,0.0,0.28857496411534095,0.36389108499523787,0.0,-0.0
-0.0,-2.0685131219458364,0.0,0.2,1.1957620155571027,0.0,-0.0
-0.0,-2.2426809225030677,0.0,0.2,0.0,0.0,-0.0
